"Iteration","cDf Monitor: cDf Monitor"
1.0,0.3345887307803635
2.0,0.2911901600028453
3.0,0.1399385211537953
4.0,0.0871219931366665
5.0,0.06006758468748403
6.0,0.044471311567872
7.0,0.03551630129703584
8.0,0.02875205186712085
9.0,0.023937992220884774
10.0,0.02034431743338575
11.0,0.017693862395706035
12.0,0.015611524857719244
13.0,0.013831710528420848
14.0,0.012326754205373984
15.0,0.011112902044069707
16.0,0.010001583673295721
17.0,0.009058529736905366
18.0,0.008252606122523235
19.0,0.007568108230913656
20.0,0.006978406317757794
21.0,0.006473438925203099
22.0,0.006037934978715083
23.0,0.005652032084071051
24.0,0.00531286207480297
25.0,0.005013123990938097
26.0,0.004750358224424989
27.0,0.004519282444456509
28.0,0.00431746916688943
29.0,0.004150917417479574
30.0,0.00401047523620768
31.0,0.0039046801741875518
32.0,0.003823386245016106
33.0,0.0037819339919738268
34.0,0.003768333860221216
35.0,0.00379350079224121
36.0,0.003850968713178948
37.0,0.003937632764796332
38.0,0.0040495095406391695
39.0,0.004182725457935753
40.0,0.004333630595127557
41.0,0.004498360158813048
42.0,0.00467295061870708
43.0,0.004853432405642682
44.0,0.005036277082805088
45.0,0.005218356192165954
46.0,0.005396913437553753
47.0,0.0055696427777048845
48.0,0.005734696311552857
49.0,0.005890653598319081
50.0,0.006036446629591096
51.0,0.006171312833672641
52.0,0.006296699989776747
53.0,0.0064099336693620515
54.0,0.006511689081673292
55.0,0.006599250498561411
56.0,0.0066765535227017135
57.0,0.006741679873595335
58.0,0.006798275166651182
59.0,0.0068450326233559285
60.0,0.006885207516200003
61.0,0.006917662437958504
62.0,0.006945308403899132
63.0,0.006967078438433702
64.0,0.006985495369284406
65.0,0.006999452176644023
66.0,0.007011158257620788
67.0,0.007019471587224693
68.0,0.007026294918328196
69.0,0.0070305300826574504
70.0,0.007033780712494439
71.0,0.0070350636519446955
72.0,0.007035698347452279
73.0,0.007034856004020241
74.0,0.007033594920293544
75.0,0.007031249820120851
76.0,0.007028658131251165
77.0,0.007025298673894187
78.0,0.007021817241791469
79.0,0.0070177985630987755
80.0,0.007013761002951075
81.0,0.007009367664818778
82.0,0.007005016139968945
83.0,0.007000464622478873
84.0,0.006995995801576267
85.0,0.006991447039472102
86.0,0.006987013096550295
87.0,0.006982588738879423
88.0,0.006978304413238877
89.0,0.006974091700271566
90.0,0.006970035539918233
91.0,0.006966088622306355
92.0,0.006962302123352166
93.0,0.006958640280086673
94.0,0.006955131476176711
95.0,0.006951748461608204
96.0,0.006948503531185855
97.0,0.006945380659925454
98.0,0.00694237635428125
99.0,0.006939489311436232
100.0,0.0069367047552788275
101.0,0.006934033259357411
102.0,0.006931455132544053
103.0,0.006928927263587706
104.0,0.0069265378850968074
105.0,0.00692424985362272
106.0,0.006922017968217175
107.0,0.006919896830667087
108.0,0.006917855924340038
109.0,0.006915854702339996
110.0,0.006913945537448743
111.0,0.006912103051384599
112.0,0.00691028984740379
113.0,0.006908551150611668
114.0,0.006906865716475924
115.0,0.006905196650227362
116.0,0.006903589095183591
117.0,0.006902025141218379
118.0,0.00690047085150595
119.0,0.006898968986469778
120.0,0.006897502907894382
121.0,0.006896041045414111
122.0,0.006894626134953822
123.0,0.006893304192691398
124.0,0.006891921573555729
125.0,0.006890581818134157
126.0,0.00688933377342323
127.0,0.006888033597128454
128.0,0.006886769311623672
129.0,0.006885589819657432
130.0,0.006884362660320641
131.0,0.006883169455493492
132.0,0.006882057647741586
133.0,0.006880901046348076
134.0,0.006879774790904604
135.0,0.0068787257736663875
136.0,0.0068776354975299886
137.0,0.0068765740545093604
138.0,0.006875587100615113
139.0,0.006874560305108593
140.0,0.00687355884460159
141.0,0.0068726270935453035
142.0,0.006871657145357253
143.0,0.0068707117837724895
144.0,0.0068698338354575865
145.0,0.006868920670963988
146.0,0.006868029995871089
147.0,0.006867202710308199
148.0,0.006866341556205612
149.0,0.006865501106926202
150.0,0.00686472070780925
151.0,0.006863908492162878
152.0,0.0068631159052349785
153.0,0.006862379993641665
154.0,0.006861614108631189
155.0,0.006860867197066102
156.0,0.006860174481268059
157.0,0.006859455021925142
158.0,0.006858754139740193
159.0,0.006858075222926097
160.0,0.0068574019274796755
161.0,0.006856747681856403
162.0,0.006856113774946781
163.0,0.006855483889033766
164.0,0.006854872646831909
